id,account_id,account_type,transaction_id,transaction_id_orig,transaction_amount,transaction_date,transaction_type,transaction_type_name,transaction_channel,transaction_code,is_db_cr,user_id,spv_id,reversal_code,reversal_code_name,correction
15,15,Tabungan,bedfab3e-1638-4900-b54a-c09545bd30ec,bedfab3e-1638-4900-b54a-c09545bd30ec,50000.0,2022-12-15T17:19:00.000+07:00,401000,Transfer External BIFAST,Mobile Banking,5,cr,10110658844,51,1,reverse,1
3,3,Tabungan,bac1a35d-b062-4db7-9866-896c0a03e6e1,bac1a35d-b062-4db7-9866-896c0a03e6e1,1000000.0,2022-12-30T20:28:00.000+07:00,11001,Transfer External IBFT,Mobile Banking,5,cr,10110658755,51,1,reverse,4
25,25,Tabungan,6f0ddadf-d44f-4b54-acb9-12c22c15bab8,6f0ddadf-d44f-4b54-acb9-12c22c15bab8,140000.0,2022-12-09T00:53:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110662710,51,1,reverse,1
30,30,Tabungan,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,1500000.0,2022-11-28T09:32:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663422,51,1,reverse,2
40,40,Tabungan,d0d4aaa7-1da0-4275-a99c-d8e99ed823d9,d0d4aaa7-1da0-4275-a99c-d8e99ed823d9,1300000.0,2022-12-02T21:01:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,2
19,19,Tabungan,0d2d7b46-e353-4b61-9266-d40966342afe,0d2d7b46-e353-4b61-9266-d40966342afe,500000.0,2022-12-15T21:38:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110661276,51,1,reverse,2
20,20,Tabungan,d0d4aaa7-1da0-4275-a99c-d8e99ed823d9,d0d4aaa7-1da0-4275-a99c-d8e99ed823d9,1300000.0,2022-12-16T07:34:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110661276,51,1,reverse,1
16,16,Tabungan,40e369e8-0b81-4b20-9607-ac5ce102e95d,40e369e8-0b81-4b20-9607-ac5ce102e95d,27000.0,2022-12-23T22:27:00.000+07:00,401000,Transfer External BIFAST,Mobile Banking,5,cr,10110661110,51,1,reverse,1
29,29,Tabungan,42c5b209-59cb-46f2-8843-0295924a7e52,42c5b209-59cb-46f2-8843-0295924a7e52,1000000.0,2022-11-28T08:56:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663422,51,1,reverse,1
48,48,Tabungan,67e711a9-75d0-478a-9a98-f27940349b68,67e711a9-75d0-478a-9a98-f27940349b68,400000.0,2022-12-08T17:33:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,1
32,32,Tabungan,b52efd0e-20e9-4db0-bdaf-0917520ac926,b52efd0e-20e9-4db0-bdaf-0917520ac926,5000000.0,2022-11-28T17:21:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,2
39,39,Tabungan,0d2d7b46-e353-4b61-9266-d40966342afe,0d2d7b46-e353-4b61-9266-d40966342afe,500000.0,2022-12-02T06:51:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,1
36,36,Tabungan,40e369e8-0b81-4b20-9607-ac5ce102e95d,40e369e8-0b81-4b20-9607-ac5ce102e95d,27000.0,2022-11-29T09:31:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,2
45,45,Tabungan,6f0ddadf-d44f-4b54-acb9-12c22c15bab9,6f0ddadf-d44f-4b54-acb9-12c22c15bab9,140000.0,2022-12-05T17:38:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,2
26,26,Tabungan,f6fc4e5c-98ee-46a4-8a30-75838584dd72,f6fc4e5c-98ee-46a4-8a30-75838584dd72,750000.0,2022-12-09T13:00:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110662710,51,1,reverse,2
12,12,Tabungan,b52efd0e-20e9-4db0-bdaf-0917520ac926,b52efd0e-20e9-4db0-bdaf-0917520ac926,1.3E8,2022-12-01T05:16:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658844,51,1,reverse,1
14,14,Tabungan,4e81a600-3583-4002-bd30-f79758b4fefd,4e81a600-3583-4002-bd30-f79758b4fefd,100000.0,2022-12-06T22:10:00.000+07:00,401000,Transfer External BIFAST,Mobile Banking,5,cr,10110658844,51,1,reverse,1
2,2,Tabungan,f81bc473-1ac9-4ef6-9668-b13bcc9de919,f81bc473-1ac9-4ef6-9668-b13bcc9de919,100000.0,2022-12-30T20:27:00.000+07:00,11001,Transfer External IBFT,Mobile Banking,5,cr,10110658755,51,1,reverse,7
1,1,Tabungan,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,250000.0,2022-12-30T20:26:00.000+07:00,11001,Transfer External IBFT,Mobile Banking,5,cr,10110658755,51,1,reverse,5
43,43,Tabungan,bac1a35d-b062-4db7-9866-896c0a03e6e2,bac1a35d-b062-4db7-9866-896c0a03e6e2,1000000.0,2022-12-05T16:06:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,3
49,49,Tabungan,42c5b209-59cb-46f2-8843-0295924a7e53,42c5b209-59cb-46f2-8843-0295924a7e53,1000000.0,2022-12-09T11:22:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,1
34,34,Tabungan,4e81a600-3583-4002-bd30-f79758b4fefd,4e81a600-3583-4002-bd30-f79758b4fefd,100000.0,2022-11-29T07:37:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,3
28,28,Tabungan,67e711a9-75d0-478a-9a98-f27940349b67,67e711a9-75d0-478a-9a98-f27940349b67,400000.0,2022-11-25T20:06:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663422,51,1,reverse,1
24,24,Tabungan,34ce2142-b6d4-48bb-890d-d3847cbc245e,34ce2142-b6d4-48bb-890d-d3847cbc245e,500000.0,2022-12-08T15:52:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110662710,51,1,reverse,1
13,13,Tabungan,310178c0-ec95-4edb-9a81-912c805f0464,310178c0-ec95-4edb-9a81-912c805f0464,150000.0,2022-12-05T08:02:00.000+07:00,401000,Transfer External BIFAST,Mobile Banking,5,cr,10110658844,51,1,reverse,1
42,42,Tabungan,f81bc473-1ac9-4ef6-9668-b13bcc9de920,f81bc473-1ac9-4ef6-9668-b13bcc9de920,100000.0,2022-12-05T15:18:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,5
46,46,Tabungan,f6fc4e5c-98ee-46a4-8a30-75838584dd73,f6fc4e5c-98ee-46a4-8a30-75838584dd73,750000.0,2022-12-07T07:43:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,1
50,50,Tabungan,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,1500000.0,2022-12-12T08:22:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,1
9,9,Tabungan,42c5b209-59cb-46f2-8843-0295924a7e52,42c5b209-59cb-46f2-8843-0295924a7e52,1000000.0,2022-11-30T19:34:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658844,51,1,reverse,1
35,35,Tabungan,bedfab3e-1638-4900-b54a-c09545bd30ec,bedfab3e-1638-4900-b54a-c09545bd30ec,50000.0,2022-11-29T07:42:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,4
18,18,Tabungan,27484943-0b9e-403f-8403-033e836bec59,27484943-0b9e-403f-8403-033e836bec59,1000000.0,2022-12-15T13:39:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110661276,51,1,reverse,3
44,44,Tabungan,34ce2142-b6d4-48bb-890d-d3847cbc245e,34ce2142-b6d4-48bb-890d-d3847cbc245e,500000.0,2022-12-05T17:07:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110663716,51,1,reverse,1
17,17,Tabungan,06c79ad6-ef3c-444b-ad88-81debe92ab1e,06c79ad6-ef3c-444b-ad88-81debe92ab1e,500000.0,2022-12-15T13:26:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110661276,51,1,reverse,1
27,27,Tabungan,f9ea05a1-ceba-4c8c-a35b-81bc2461d924,f9ea05a1-ceba-4c8c-a35b-81bc2461d924,1.0E7,2022-12-29T17:27:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110662744,51,1,reverse,1
6,6,Tabungan,f6fc4e5c-98ee-46a4-8a30-75838584dd72,f6fc4e5c-98ee-46a4-8a30-75838584dd72,750000.0,2022-12-30T20:32:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658755,51,1,reverse,6
23,23,Tabungan,bac1a35d-b062-4db7-9866-896c0a03e6e1,bac1a35d-b062-4db7-9866-896c0a03e6e1,1000000.0,2022-12-07T15:53:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110662710,51,1,reverse,1
4,4,Tabungan,34ce2142-b6d4-48bb-890d-d3847cbc245e,34ce2142-b6d4-48bb-890d-d3847cbc245e,500000.0,2022-12-30T20:29:00.000+07:00,11001,Transfer External IBFT,Mobile Banking,5,cr,10110658755,51,1,reverse,1
22,22,Tabungan,f81bc473-1ac9-4ef6-9668-b13bcc9de919,f81bc473-1ac9-4ef6-9668-b13bcc9de919,100000.0,2022-12-26T07:22:00.000+07:00,409900,Transfer Internal,Mobile Banking,5,cr,10110661276,51,1,reverse,1
